AutoMatter.io,William Tran & ,2016,1-10 employees,Other,Horizontal,Business Mgt and ERP,B2B SaaS,Startup,automatter.io,https://www.linkedin.com/company/automatter.io/about/,"Austin, TX"
Ayata,Atanu Basu & Atanu Basu & ,2009,11-50 employees,Self-funded,"Energy, Gas, Oil, Utilities",Analytics and BI,B2B SaaS,Small,https://ayata.com/careers/,https://www.linkedin.com/company/ayata/about/,"6500 River Place Blvd, Building 7, Suite 250, Austin, TX 78730"
Azar Computer Software Services,Tony Azar & ,1979,11-50 employees,Self-funded,"Energy, Gas, Oil, Utilities",Accounting and Finance,B2B SaaS,Small,azarinc.com,https://www.linkedin.com/company/azar-computer-software-services/about/,"1200 Regal Row, Austin, TX 78748"
b.well,Philips Johnson & Valerie Barton & Kristen Valdes & ,2015,51-200 employees,VC-funded,Healthcare,Practice Management,B2B SaaS,Medium,https://www.icanbwell.com/careers/,https://www.linkedin.com/company/icanbwell/about/,"8300 North Lamar Boulevard Austin, TX, 78758, United States"
Babylon Health,Marion Templeman & Adam Rostom & Ali Parsa & ,2013,1001-5000 employees,VC-funded,Healthcare,Clinical,B2B SaaS,Large,https://www.babylonhealth.com/careers/,https://www.linkedin.com/company/babylonhealth/about/,"801 Barton Springs Road, 9th Floor, Austin, TX 78704 USA"
Backtracks,Areej Rabie & Kevin Wright & Jonathan Gill & ,2016,1-10 employees,Angel or Seed Funding,"Entertainment, Hospitality, Travel",Sales and Marketing,B2B SaaS,Startup,backtracks.fm,https://www.linkedin.com/company/backtracks-inc/about/,"301 Congress Ave, Austin, Texas 78701, US"
BadJupiter,Bryan Thurston & Tricia Eichenberger & Sam Johnson & ,2019,1-10 employees,Self-funded,"Entertainment, Hospitality, Travel",Lifestyle,Consumer,Startup,badjupiter.com,https://www.linkedin.com/company/badjupiter/about/,"Austin, TX"
Ballogy,Jill Ford & Todd L. Young & ,2016,1-10 employees,Self-funded,"Entertainment, Hospitality, Travel",Personal Sports and Fitness,Consumer,Startup,ballogy.com,https://www.linkedin.com/company/ballogy/about/,"13875 Bee Cave Pkwy, Austin, Texas 78738, US"
Bandwidth,Rebecca Bottorff & Noreen Allen & David Morken & ,1999,201-500 employees,Public,Horizontal,Sales and Marketing,B2B SaaS,Medium,https://www.bandwidth.com/careers/,https://www.linkedin.com/company/bandwidth-inc/about/,"Austin, TX"
BankingOn,Ryan Lysaght & Thomas Heatherly & Alexey Krasnoriadtsev & ,2017,11-50 employees,Angel or Seed Funding,Financial Services,Automation,B2B SaaS,Small,bankingon.io,https://www.linkedin.com/company/bankingon/about/,"5316 W Hwy 290 Service Rd., Ste 300, Austin, TX 78735"
